name,birth,age,recept_balance,trade_term
이생규,1970-06-17,38,751697,7
이문별,1992-09-12,53,861964,15
이원섭,1962-09-02,47,6989722,11
윤항님,1980-04-28,42,4324988,14
김비작,1972-08-05,62,690985,6
신경왕,1971-11-07,64,9335927,16
이감문,1984-10-05,60,209568,2
김은률,1976-04-24,32,533026,2
정요판,1967-11-30,48,863985,4
최추황,1978-11-23,28,5282435,1
윤군라,1975-07-26,32,461398,15
김면말,1965-05-29,64,9983188,15
최흥샘,1993-06-03,53,16273143,3
홍징웅,1989-07-23,48,88358,11
김갈평,1998-10-10,45,655268,13
박수낭,1969-12-30,42,20577700,12
신경왕,1995-04-16,48,817849,11
양리장,1984-02-01,53,813238,15
안후년,1957-08-27,32,8017047,4
최제모,1972-08-22,49,28640445,7
한국죽,1962-09-24,70,441424,15
김공극,1955-03-04,49,105488,12
김배위,1992-11-28,58,354319957,13
조의규,1985-09-14,56,170762,7
김균증,1954-09-13,53,4326015,1
최규자,1984-08-23,33,635268,5
장등광,1970-01-21,55,383135873,18
양면송,1980-11-27,51,9253175,10
고가향,1970-12-05,52,224893,11
김환황,1997-02-10,32,4973848,10
장항트,1987-03-11,50,573120,11
신녹관,1977-02-24,37,515430,8
유빈려,1964-03-19,29,554057,5
정항니,1992-09-12,53,3070251,20
한각흡,1974-06-20,56,6386194,9
박겸이,1950-01-31,55,12701270,11
이세나,1994-04-17,57,678555,6
김탁해,1990-10-10,24,233148,10
안거희,1965-09-02,34,947489,6
신태병,1979-04-13,54,1814699,17
안송현,1955-01-22,27,2104425,12
김조경,1994-10-21,30,11973271,4
문여아,1962-12-18,66,713868,11
유갑업,1984-08-28,54,908489,1
정슬령,1995-07-16,43,551779,2
황현칠,1969-03-25,65,2661621,15
이나백,1977-08-02,54,6470638,2
이찬교,1970-01-14,64,600256,10
안빈량,1992-08-07,27,307365,6
박몽윤,1973-02-24,59,159017,18
장욱견,1993-07-13,71,15354423,17
김년견,1997-08-16,25,300760,17
정항니,1970-01-28,58,221883,6
김희목,1963-04-14,52,689448,5
백막섭,1966-12-14,42,197868,17
조운원,1965-06-28,64,297012,5
장왕여,1980-12-05,50,1887234,4
양요만,1996-11-26,52,3860266,12
윤판늠,1977-10-22,34,25881913,5
이벽님,1975-09-30,56,586175,9
김수슬,1961-04-28,32,223091,14
최길월,1992-07-27,25,633016,7
이효영,1988-08-12,39,388030,1
박도발,1979-02-25,28,323522,8
김복모,1955-03-06,67,284825,19
성근현,1965-11-01,22,682794,6
김민삼,1982-04-25,25,138448,9
김옥염,1987-03-14,63,8429686,7
정난양,1966-05-28,59,9066969,11
김평아,1982-01-15,36,18457070,19
박혜려,1974-11-09,49,718045,12
장열옥,1991-09-18,22,355862656,8
이감문,1981-05-10,35,13112688,7
정광율,1962-09-05,40,653984,8
박금완,1970-09-29,54,14898788,6
김장민,1966-10-08,40,88139,12
민배금,1958-12-05,48,8591724,14
김초오,1962-11-21,58,159017,15
김존,1962-12-18,57,932612,2
유새악,1965-04-24,53,903992,7
김혁익,1954-08-12,48,851265,8
김탁복,1966-02-24,55,925875,3
장로언,1951-07-22,33,9130725,12
이타융,1983-04-05,27,543933,6
송부결,1990-03-27,37,510280,15
정남풍,1976-06-11,63,4130536,10
김량녀,1998-05-15,66,935740,6
이맹명,1961-10-09,61,32292736,10
이숙엽,1981-02-27,44,12429400,6
김형탁,1956-12-07,28,976623,2
이시판,1986-05-30,26,8394779,4
이진래,1990-05-03,58,397569,15
유청종,1969-02-18,57,5350147,18
양영좌,1980-06-12,22,136204,3
김련옥,1967-08-20,24,237324,23
최민시,1982-07-23,36,11992801,2
유활별,1993-05-09,67,422201,14
고가향,1963-11-03,63,9485402,8
유정중,1995-07-14,43,197849,17
허회준,1975-09-08,45,374348,15
손벽례,1985-08-25,58,3885329,19
김완인,1987-11-25,57,103755,23
장항트,1977-11-08,49,88358,19
진돈육,1980-02-19,47,6527095,7
박설매,1957-08-27,29,830306,9
김장민,1951-08-02,47,545252,8
이완종,1969-12-30,43,469779,19
이라정,1959-09-26,70,815325,8
이장근,1994-03-16,64,6027400,12
박웅죽,1982-03-31,44,379468,11
김려관,1975-12-03,44,973030,9
한야향,1965-04-24,54,934361,1
류재극,1988-06-09,60,7335791,16
박환용,1998-05-15,61,2286545,12
백쾌하,1967-09-19,46,834600,20
이태협,1956-12-25,49,865417,8
한백령,1967-03-14,29,292982,5
이빈숙,1980-12-05,63,221883,9
조이선,1977-03-12,25,8394779,9
한천응,1994-12-13,25,660909,5
김을낭,1986-02-24,54,1546922,8
손휴표,1966-09-21,54,4438877,9
정상난,1969-04-10,54,449695,3
이귀응,1974-03-14,40,920543,3
유송문,1964-05-03,38,277354,5
김랑풍,1993-08-24,51,749926,15
이앵효,1951-03-07,63,6027400,7
엄앵교,1961-07-08,41,20848563,17
전도둘,1949-11-22,44,790274,1
윤아육,1967-11-11,43,509787,10
정무언,1984-01-04,64,330443,7
남손학,1988-08-20,64,508420,1
박음운,1970-01-21,24,7446825,9
백택례,1955-06-04,30,1937677,3
이응국,1974-03-29,33,970425,3
김나옥,1971-09-09,54,366580,5
유안갑,1978-06-26,41,465764,19
양갈길,1951-04-05,56,109065,9
이국제,1955-10-10,66,870566,10
강창표,1970-03-03,33,280395,10
임필득,1992-02-03,49,865417,2
강곤향,1960-05-20,34,25083,7
김겸몽,1983-05-14,34,232612,7
김범라,1978-07-25,27,196050331,3
윤유집,1959-08-19,66,702852,15
이루휴,1987-10-23,56,943821,19
권면야,1970-03-12,28,323522,15
이웅열,1970-01-21,53,423188,13
정말향,1963-04-14,41,356927,3
진소근,1961-12-24,38,904666,18
김탁복,1994-04-17,65,9035953,15
정평립,1977-02-24,21,3903130,15
이온트,1952-08-27,64,97571,11
이존다,1968-03-30,45,471206,6
조대건,1953-09-10,47,799413,1
최우엽,1966-11-12,43,296263229,11
김양위,1980-06-18,29,21364304,4
정녹래,1971-09-09,39,65947,4
이육묵,1949-03-11,61,48441,1
양리장,1983-07-20,49,4614120,1
조면팔,1974-11-09,30,527308,5
정붕찬,1967-02-21,62,9035953,9
이임애,1994-03-22,56,769310,1
강필준,1954-12-27,54,381251,17
김극학,1955-02-27,39,4180972,14
나긍옥,1982-04-04,46,374348,9
양방로,1961-11-10,67,422201,3
박빛죽,1967-01-06,54,775311,3
박령희,1995-07-03,54,1814699,5
최겸안,1985-06-04,51,3763050,3
이익석,1998-07-08,54,370526801,8
박빛죽,1950-05-08,55,125104,15
김낭돈,1999-11-11,20,119959,16
김면말,1953-01-28,43,424046,9
송관업,1984-09-10,42,610943,7
김병규,1996-05-27,32,2283534,1
장미금,1963-04-24,33,880439,22
이슬탁,1979-06-27,30,369432,6
손단림,1995-07-09,25,33305,6
김무안,1977-01-17,69,274489,5
성근현,1998-06-10,43,552889,15
김잠기,1956-07-30,33,40752,3
김연롬,1985-12-09,45,782187,3
김환늘,1980-05-29,33,2908515,13
이관석,1961-07-31,58,19512419,2
양시려,1973-11-03,53,817250,3
차노하,1964-08-10,23,119959,23
이능이,1993-02-21,27,307365,1
김조국,1977-10-22,36,924004,3
박빛죽,1963-12-04,25,1677656,6
전중화,1967-03-28,36,25083,10
이융항,1969-04-10,50,18695,7
한낙창,1975-04-02,64,761294,2
김천균,1955-09-26,57,103755,8
안익휘,1981-04-15,24,237324,14
김분람,1998-06-10,52,29180982,12
모노내,1965-02-08,38,223356,6
고채림,1980-01-16,40,973499,14
이민위,1982-07-02,31,16610469,9
이탁표,1982-05-23,53,9284969,10
이어량,1976-06-17,54,7185105,20
이고후,1987-11-01,22,3050938,9
윤민자,1992-10-09,62,818514,8
신벽일,1985-11-30,69,5099584,16
조응람,1995-07-09,50,1461399,17
이장근,1980-10-29,69,9335927,9
박강상,1985-01-03,50,8660337,5
박부범,1948-03-01,53,853782,13
구어능,1968-11-09,30,1248797,16
허동흥,1992-10-09,36,1960557,14
김석계,1950-05-14,38,4893819,12
김규님,1949-06-21,47,137308,8
신혁극,1951-08-02,30,776140,6
이랑려,1949-05-02,25,3903130,12
김승솔,1966-09-21,21,119959,16
김묘두,1974-02-04,36,924004,20
박강상,1962-11-13,59,3539418,13
유홍득,1987-09-03,56,29146508,22
최월군,1963-06-27,39,17001033,19
박복애,1954-08-28,60,170762,9
차면원,1965-06-28,54,884270,2
강라돌,1973-05-13,52,449695,19
김비윤,1984-01-04,66,129646,15
안송현,1949-06-19,32,3290306,4
박홍말,1953-03-04,64,330443,10
서지범,1981-03-02,26,579406,15
이세나,1973-02-12,52,3445147,24
백우칠,1980-06-18,41,990657,17
김을낭,1954-08-28,39,221500,2
김달항,1974-12-03,30,613192,15
이제비,1964-04-19,54,885277,24
권풍늠,1966-05-03,51,170397,15
김운관,1953-04-04,67,266726,9
최래업,1978-04-26,35,7567561,6
김극학,1953-11-05,56,848681,9
안범출,1986-01-26,44,915789,18
