name,birth,trade_term,recept_balance,gender
이생규,1970-06-17,20,751697,F
이문별,1992-09-12,3,861964,F
이원섭,1962-09-02,1,6989722,F
윤항님,1980-04-28,8,4324988,M
김비작,1972-08-05,13,690985,F
신경왕,1971-11-07,14,9335927,M
이감문,1984-10-05,13,209568,F
김은률,1976-04-24,13,533026,M
정요판,1967-11-30,3,863985,F
최추황,1978-11-23,2,5282435,F
윤군라,1975-07-26,1,461398,F
김면말,1965-05-29,5,9983188,F
최흥샘,1993-06-03,17,16273143,F
홍징웅,1989-07-23,1,88358,F
김갈평,1998-10-10,2,655268,F
박수낭,1969-12-30,15,20577700,F
신경왕,1995-04-16,1,817849,M
양리장,1984-02-01,4,813238,M
안후년,1957-08-27,12,8017047,M
최제모,1972-08-22,6,28640445,M
한국죽,1962-09-24,1,441424,M
김공극,1955-03-04,9,105488,F
김배위,1992-11-28,8,354319957,F
조의규,1985-09-14,14,170762,M
김균증,1954-09-13,12,4326015,F
최규자,1984-08-23,9,635268,F
장등광,1970-01-21,23,383135873,F
양면송,1980-11-27,6,9253175,M
고가향,1970-12-05,6,224893,M
김환황,1997-02-10,8,4973848,M
장항트,1987-03-11,3,573120,M
신녹관,1977-02-24,8,515430,F
유빈려,1964-03-19,4,554057,F
정항니,1992-09-12,9,3070251,F
한각흡,1974-06-20,4,6386194,F
박겸이,1950-01-31,9,12701270,F
이세나,1994-04-17,2,678555,F
김탁해,1990-10-10,16,233148,M
안거희,1965-09-02,8,947489,F
신태병,1979-04-13,5,1814699,M
안송현,1955-01-22,12,2104425,F
김조경,1994-10-21,10,11973271,F
문여아,1962-12-18,16,713868,M
유갑업,1984-08-28,14,908489,F
정슬령,1995-07-16,2,551779,M
황현칠,1969-03-25,17,2661621,M
이나백,1977-08-02,19,6470638,M
이찬교,1970-01-14,19,600256,F
안빈량,1992-08-07,9,307365,F
박몽윤,1973-02-24,12,159017,F
장욱견,1993-07-13,18,15354423,F
김년견,1997-08-16,9,300760,F
정항니,1970-01-28,15,221883,M
김희목,1963-04-14,15,689448,F
백막섭,1966-12-14,19,197868,F
조운원,1965-06-28,16,297012,F
장왕여,1980-12-05,16,1887234,M
양요만,1996-11-26,13,3860266,M
윤판늠,1977-10-22,15,25881913,M
이벽님,1975-09-30,2,586175,F
김수슬,1961-04-28,3,223091,F
최길월,1992-07-27,6,633016,M
이효영,1988-08-12,3,388030,M
박도발,1979-02-25,17,323522,M
김복모,1955-03-06,2,284825,F
성근현,1965-11-01,11,682794,F
김민삼,1982-04-25,18,138448,M
김옥염,1987-03-14,5,8429686,M
정난양,1966-05-28,15,9066969,F
김평아,1982-01-15,14,18457070,F
박혜려,1974-11-09,20,718045,F
장열옥,1991-09-18,5,355862656,M
이감문,1981-05-10,6,13112688,M
정광율,1962-09-05,9,653984,F
박금완,1970-09-29,5,14898788,F
김장민,1966-10-08,17,88139,F
민배금,1958-12-05,11,8591724,F
김초오,1962-11-21,12,159017,M
김존,1962-12-18,2,932612,M
유새악,1965-04-24,4,903992,F
김혁익,1954-08-12,3,851265,M
김탁복,1966-02-24,8,925875,F
장로언,1951-07-22,8,9130725,M
이타융,1983-04-05,9,543933,F
송부결,1990-03-27,7,510280,F
정남풍,1976-06-11,7,4130536,F
김량녀,1998-05-15,4,935740,F
이맹명,1961-10-09,14,32292736,F
이숙엽,1981-02-27,14,12429400,F
김형탁,1956-12-07,7,976623,M
이시판,1986-05-30,12,8394779,F
이진래,1990-05-03,5,397569,M
유청종,1969-02-18,18,5350147,F
양영좌,1980-06-12,5,136204,M
김련옥,1967-08-20,12,237324,F
최민시,1982-07-23,6,11992801,M
유활별,1993-05-09,4,422201,M
고가향,1963-11-03,5,9485402,F
유정중,1995-07-14,1,197849,F
허회준,1975-09-08,6,374348,F
손벽례,1985-08-25,7,3885329,M
김완인,1987-11-25,9,103755,F
장항트,1977-11-08,1,88358,F
진돈육,1980-02-19,11,6527095,M
박설매,1957-08-27,2,830306,M
김장민,1951-08-02,1,545252,M
이완종,1969-12-30,3,469779,F
이라정,1959-09-26,4,815325,F
이장근,1994-03-16,18,6027400,M
박웅죽,1982-03-31,10,379468,F
김려관,1975-12-03,14,973030,M
한야향,1965-04-24,17,934361,F
류재극,1988-06-09,17,7335791,M
박환용,1998-05-15,3,2286545,F
백쾌하,1967-09-19,3,834600,M
이태협,1956-12-25,16,865417,F
한백령,1967-03-14,3,292982,M
이빈숙,1980-12-05,15,221883,F
조이선,1977-03-12,12,8394779,M
한천응,1994-12-13,16,660909,F
김을낭,1986-02-24,4,1546922,F
손휴표,1966-09-21,15,4438877,F
정상난,1969-04-10,12,449695,F
이귀응,1974-03-14,5,920543,M
유송문,1964-05-03,4,277354,F
김랑풍,1993-08-24,12,749926,M
이앵효,1951-03-07,18,6027400,M
엄앵교,1961-07-08,2,20848563,M
전도둘,1949-11-22,5,790274,M
윤아육,1967-11-11,19,509787,F
정무언,1984-01-04,2,330443,F
남손학,1988-08-20,21,508420,F
박음운,1970-01-21,12,7446825,F
백택례,1955-06-04,7,1937677,F
이응국,1974-03-29,17,970425,F
김나옥,1971-09-09,13,366580,F
유안갑,1978-06-26,6,465764,M
양갈길,1951-04-05,16,109065,M
이국제,1955-10-10,17,870566,F
강창표,1970-03-03,24,280395,F
임필득,1992-02-03,16,865417,F
강곤향,1960-05-20,15,25083,M
김겸몽,1983-05-14,8,232612,M
김범라,1978-07-25,25,196050331,M
윤유집,1959-08-19,10,702852,F
이루휴,1987-10-23,20,943821,M
권면야,1970-03-12,17,323522,M
이웅열,1970-01-21,9,423188,F
정말향,1963-04-14,6,356927,F
진소근,1961-12-24,19,904666,F
김탁복,1994-04-17,7,9035953,F
정평립,1977-02-24,1,3903130,M
이온트,1952-08-27,6,97571,M
이존다,1968-03-30,17,471206,M
조대건,1953-09-10,14,799413,F
최우엽,1966-11-12,1,296263229,M
김양위,1980-06-18,11,21364304,F
정녹래,1971-09-09,11,65947,M
이육묵,1949-03-11,14,48441,F
양리장,1983-07-20,14,4614120,F
조면팔,1974-11-09,15,527308,F
정붕찬,1967-02-21,7,9035953,F
이임애,1994-03-22,5,769310,M
강필준,1954-12-27,12,381251,F
김극학,1955-02-27,8,4180972,M
나긍옥,1982-04-04,6,374348,M
양방로,1961-11-10,2,422201,F
박빛죽,1967-01-06,12,775311,M
박령희,1995-07-03,2,1814699,F
최겸안,1985-06-04,10,3763050,M
이익석,1998-07-08,4,370526801,F
박빛죽,1950-05-08,7,125104,M
김낭돈,1999-11-11,13,119959,M
김면말,1953-01-28,11,424046,F
송관업,1984-09-10,5,610943,F
김병규,1996-05-27,10,2283534,M
장미금,1963-04-24,16,880439,F
이슬탁,1979-06-27,11,369432,F
손단림,1995-07-09,5,33305,M
김무안,1977-01-17,5,274489,M
성근현,1998-06-10,7,552889,M
김잠기,1956-07-30,3,40752,F
김연롬,1985-12-09,11,782187,M
김환늘,1980-05-29,1,2908515,M
이관석,1961-07-31,10,19512419,F
양시려,1973-11-03,4,817250,F
차노하,1964-08-10,14,119959,F
이능이,1993-02-21,11,307365,F
김조국,1977-10-22,5,924004,M
박빛죽,1963-12-04,5,1677656,F
전중화,1967-03-28,15,25083,M
이융항,1969-04-10,6,18695,F
한낙창,1975-04-02,8,761294,F
김천균,1955-09-26,10,103755,M
안익휘,1981-04-15,18,237324,F
김분람,1998-06-10,10,29180982,M
모노내,1965-02-08,3,223356,F
고채림,1980-01-16,2,973499,M
이민위,1982-07-02,7,16610469,F
이탁표,1982-05-23,6,9284969,F
이어량,1976-06-17,19,7185105,M
이고후,1987-11-01,3,3050938,F
윤민자,1992-10-09,9,818514,F
신벽일,1985-11-30,10,5099584,F
조응람,1995-07-09,12,1461399,F
이장근,1980-10-29,14,9335927,M
박강상,1985-01-03,5,8660337,F
박부범,1948-03-01,6,853782,F
구어능,1968-11-09,12,1248797,F
허동흥,1992-10-09,17,1960557,M
김석계,1950-05-14,2,4893819,M
김규님,1949-06-21,8,137308,M
신혁극,1951-08-02,15,776140,M
이랑려,1949-05-02,3,3903130,M
김승솔,1966-09-21,13,119959,F
김묘두,1974-02-04,5,924004,F
박강상,1962-11-13,16,3539418,M
유홍득,1987-09-03,11,29146508,F
최월군,1963-06-27,8,17001033,F
박복애,1954-08-28,13,170762,F
차면원,1965-06-28,15,884270,M
강라돌,1973-05-13,10,449695,F
김비윤,1984-01-04,7,129646,F
안송현,1949-06-19,3,3290306,M
박홍말,1953-03-04,3,330443,M
서지범,1981-03-02,1,579406,M
이세나,1973-02-12,7,3445147,M
백우칠,1980-06-18,8,990657,F
김을낭,1954-08-28,19,221500,F
김달항,1974-12-03,17,613192,M
이제비,1964-04-19,2,885277,F
권풍늠,1966-05-03,10,170397,M
김운관,1953-04-04,6,266726,F
최래업,1978-04-26,21,7567561,F
김극학,1953-11-05,14,848681,M
안범출,1986-01-26,8,915789,F
